type,1,2,3,4,5,6,7,8,9,10
normal,1.9922136e-24,0.0,2.3667907e-21,0.0,0.0,1.7902503e-15,0.0,0.0,0.0,0.0
attack,0.0,4.9138115e-20,1.0,1.0,1.0,1.0,1.0,1.29075315e-23,1.7269397e-33,5.018198e-31
attack,2.930499e-37,1.0,3.0862395e-37,1.4581155e-28,0.0,3.543705e-19,1.0,1.0,1.0,1.0
attack,0.0,1.0,0.0,1.0,1.0431967e-30,0.0,1.0,1.0,0.9999629,0.0
attack,5.985954e-33,1.3931646e-29,3.7210033e-34,0.9999975,0.99994385,1.0,0.0,0.0,0.9999252,0.9999997
attack,4.8025362e-32,0.0,0.0,0.9994809,0.8291997,0.9984734,0.99992317,0.0,0.4713365,0.0
normal,8.7023e-34,3.7324808e-24,3.7442818e-35,1.8507e-27,1.9805731e-18,0.0,1.2396574e-32,2.0515583e-33,7.5518984e-19,0.0
normal,0.0,0.0,7.243977e-24,2.1453284e-33,2.8160553e-27,2.5870495e-33,0.0,1.0295766e-31,0.0,0.0
attack,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.99992704,1.0
attack,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
attack,0.0,0.0,1.0,0.9999999,1.0,0.0,0.0,1.0,1.0,0.0
attack,0.0,0.0,6.4977e-38,1.0,1.0,1.0,1.0,0.0,0.0,1.0
attack,0.0,1.0,1.0,0.0,0.9994455,1.7510904e-36,0.99961114,1.0,0.0,0.0
normal,9.231602e-24,2.3446855e-20,1.7894406e-27,9.2221664e-32,9.094107e-37,0.0,3.484337e-26,1.7068632e-21,0.0,7.0536655e-17
normal,2.447269e-32,0.0,3.4119986e-31,4.3518635e-37,7.490704e-18,1.4666399e-35,0.0,0.0,2.162376e-34,1.5137593e-12
attack,0.0,1.0,1.0,1.0,7.458096e-15,0.99999976,1.0,0.006465405,6.0959915e-32,7.385096e-34
attack,2.5170518e-37,1.0,1.0,5.397119e-34,1.0,0.0,0.0,1.3107338e-24,1.0,1.0
attack,2.484568e-38,1.0,1.4507711e-26,1.0,1.0,6.715885e-31,5.1279885e-35,1.8524833e-31,1.0,1.0
attack,1.2715197e-35,3.7359088e-19,6.0947173e-38,3.5783637e-31,1.0,1.0,3.477042e-14,1.0,1.0,1.0
attack,0.0,0.9991163,0.0,0.0,0.0,0.9999783,0.0,0.99999774,1.0,1.0
attack,0.0,5.0060304e-19,1.0,1.0,1.0,1.7691863e-35,1.0,1.0,0.0,8.488418e-37
normal,0.0,0.9770879,1.4036072e-17,2.2325498e-34,1.9955293e-32,2.0998567e-26,1.9330146e-37,8.764859e-21,6.269687e-25,3.7393725e-27
attack,0.0,0.0,0.0,1.0,1.0,4.7219924e-30,1.0,1.0,1.0,0.0
attack,0.0,0.0,2.2882399e-20,0.0,1.0,1.0,1.0,0.0,1.0,1.0
attack,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
normal,0.0,0.0,0.0,0.0,2.7154483e-33,0.0,1.2000358e-35,0.0,0.0,0.0
attack,0.0,1.0,9.412566e-24,1.0,1.0,1.0,7.287396e-20,0.9999658,0.0,0.0
normal,0.0,1.16216105e-20,1.6362074e-17,0.0,0.00071007013,4.4218066e-32,3.4461288e-37,0.0,8.985675e-25,8.6158047e-16
attack,0.0,0.0,0.99999976,1.0,0.4071209,0.0,0.0,0.9952557,3.710436e-06,0.0
attack,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,0.0,1.6399092e-29,1.0,1.0,1.0,0.0,8.881276e-14,1.0,0.0,1.0
attack,2.4264489e-30,1.0,1.0,1.0,1.0,4.49043e-24,1.0,5.4600807e-12,2.309605e-33,1.8888939e-20
normal,0.0,4.40889e-31,5.9767195e-16,1.8096262e-38,0.0,0.0,1.8743836e-24,0.0,0.0,6.240811e-26
